arm,true,corr_deltanorm_deltasum,sd_delta_norm,raw_top1,raw_S,raw_p_perm,raw_boot,raw_maxLambda,raw_verdict,resid_top1,resid_S,resid_p_perm,resid_boot,resid_maxLambda,resid_verdict
RM_OA-deberta,OA-deberta,0.10537651494430246,0.6698688060657995,gpt2-helpful,-0.11096125148352988,0.9978002199780022,0.0128,23.982462912795768,FAIL,gpt2-helpful,-0.0411521303246295,0.806019398060194,0.1818,11.20117061648807,FAIL
RM_gpt2-helpful,gpt2-helpful,0.1416362600722053,0.7492069657228295,gpt2-helpful,0.1328881734924885,9.999000099990002e-05,0.9984,10.005051903165054,SUCCESS,gpt2-helpful,0.05002996853701883,0.036096390360963904,0.9034,3.4319499832039355,FAIL
RM_gpt2-harmless,gpt2-harmless,0.12185278009193283,0.6246270083449085,gpt2-helpful,-0.060682760312649416,0.9891010898910109,0.0036,6.363679302049263,FAIL,gpt2-helpful,-0.009481140681934995,0.6304369563043696,0.1274,1.887556154883896,FAIL
