arm,corr_obs,corr_null_mean,corr_null_sd,corr_percentile,corr_two_sided_tail_p,short_obs,short_null_mean,short_null_sd,short_percentile,short_two_sided_tail_p
RM_OA-deberta,0.020640405215008175,0.07747744574067562,0.04844948623996976,11.790000000000001,0.2358,0.474025974025974,0.4655084415584415,0.0320603973831842,56.63,0.8674
RM_gpt2-helpful,0.16741833213948015,0.15643164012756872,0.04383054591837091,59.12,0.8176,0.44155844155844154,0.4411415584415585,0.032376286301192284,46.37,1.0
RM_gpt2-harmless,-0.10725098553968489,-0.1005218625430231,0.04136934559395946,44.13,0.8826,0.551948051948052,0.5453,0.032096341496499925,54.54,0.9092
