arm,step,mean_c,sd_c,corr_c_resp_len,sd_Delta,sd_len_accum,sd_token_diff,corr_Delta_accum,corr_Delta_tokdiff,corr_accum_dtrue,corr_tokdiff_dtrue,cov_accum_tokdiff,corr_accum_tokdiff,max_recon_err,rel_recon_err
RM_OA-deberta,51,-0.03784958050480226,0.09955720198521967,0.2973011377145738,6.641056514266289,6.300189006246895,9.959586235620117,-0.18400307730022145,0.7831962588055315,-0.2651482776562466,0.2700755140839537,-47.48379572528055,-0.7552687093057959,7.105427357601002e-15,1.455878743099609e-16
RM_OA-deberta,136,-0.24370447379370513,0.496464607537232,0.4384238234871995,16.793763123105357,34.6675245787576,35.788464076909506,0.17438527010247426,0.3003274312794346,-0.11733540050397773,0.153682470582586,-1102.4637202376048,-0.8868483316940026,5.684341886080802e-14,6.391942590693306e-16
RM_OA-deberta,272,-0.3181125804312537,0.616683211296268,0.46785812633118734,20.348995660359655,40.52861517293577,41.070064493026145,0.22425889593927265,0.2741678959291977,-0.13135066783790283,0.1732938848896964,-1460.4710930595872,-0.8757028340867955,5.684341886080802e-14,5.012723316694696e-16
RM_gpt2-helpful,51,-0.043906376501532056,0.19522699615571867,0.34093805865385113,13.21150575672897,18.875347088598232,27.12831673411908,-0.41127944769787694,0.7731606899168144,-0.26922323711987894,0.30700384929306773,-459.7381321301449,-0.8960735794163688,2.842170943040401e-14,1.8381412557784142e-16
RM_gpt2-helpful,136,-0.2587794083348663,0.6298089043986511,0.4837235536821594,17.215229239782243,44.43671050576745,45.4117214013103,0.1364471564253468,0.24557462492606952,-0.21261253256604987,0.215787073553361,-1873.900744103504,-0.9268034800278299,2.842170943040401e-14,2.8688439779008233e-16
RM_gpt2-helpful,272,-0.3394459160180234,0.7717757587203466,0.5081632239195685,20.985602530362055,48.297681685789044,49.26849758404997,0.17052670612556886,0.2587770803693179,-0.2342275875836957,0.22780695013605237,-2164.0543671102632,-0.9076606392134688,2.842170943040401e-14,2.491689974222136e-16
RM_gpt2-harmless,51,-0.06551362870003874,0.14372702140589785,0.23682428765107183,6.81832762589628,4.916580255807742,7.2103248531740025,0.2785199611872041,0.7557165585231969,0.21385591183749925,-0.06707364645257938,-14.86501036639027,-0.4185026294277349,3.552713678800501e-15,1.0060072446487579e-16
RM_gpt2-harmless,136,-0.3203621890072501,0.6153284795797977,0.4600933009542647,20.274456939778872,39.28392014114692,37.15821128145084,0.3600602755496395,0.1649669781641906,0.2465576781055779,-0.19134133275248144,-1258.9115331331516,-0.8607490104012899,2.842170943040401e-14,2.1245005736627774e-16
RM_gpt2-harmless,272,-0.35545787605908563,0.6604650001681242,0.4750604383958679,22.158388704260084,41.43223992979737,38.65157733414891,0.3886843929699554,0.15663846330049336,0.25254650267817785,-0.1963181789791971,-1362.4514109364395,-0.8491146372464707,5.684341886080802e-14,3.5628254575955347e-16
