judge,D1_acc,|acc-0.5|,binom_p,D2_R_m,len_R2,D3a_max,D3b_dup_max,SNR_format,SNR_para,verdict
SmolLM2-1.7B,0.52,0.020000000000000018,0.3955107714348588,0.2190746310942329,0.09802563066430381,0.0,0.0,3.3000292914108367,5.971216065995034,"DROP (D1,R<0.5)"
Qwen2.5-1.5B,0.536,0.03600000000000003,0.11743621550414401,0.5734991496054462,0.011591357405087876,0.0,0.0,3.360089669782385,7.113308641297794,DROP (D1)
TinyLlama-1.1B,0.496,0.0040000000000000036,0.8932902437826092,0.21613134311889143,0.005255381620882016,0.0,0.0,2.143998633425145,6.260710786914748,"DROP (D1,R<0.5)"
gemma-3-1b,0.536,0.03600000000000003,0.11743621550414401,0.47784883034693887,0.08556668369661691,0.0,0.0,2.444341139144338,5.319634625284723,"DROP (D1,R<0.5)"
Llama-3.2-1B,0.426,0.07400000000000001,0.0010756469819866935,0.15210174945908378,0.03619964719705904,0.0,0.0,2.150500028538453,6.385691164942442,"DROP (D1,R<0.5)"
